ID,FIRST_NAME,LAST_NAME,MIDDLE_INITIAL,EMAIL,NEWDOB,NEWLASTTRANSACTION,NUMBEROFDAYSSINCELASTTRANS,COMPANY_NAME,STANDARD_PHONE,ADDRESS,REGION,COUNTRY
7," Dominique V.",Mayer,V.,ipsum.phasellus@aol.edu,1997-11-27,2022-09-01,319,Iaculis Quis Corporation,63171546824,"P.O. Box 443, 6497 Elementum, Rd.",Kaluga Oblast,China
10," Reece S.",Alford,S.,vel@outlook.edu,1967-10-20,2022-07-18,364,Amet Corporation,903069949880,"P.O. Box 427, 691 Vel Av.",Sumy oblast,Turkey
4," Nasim Z.",Bennett,Z.,elementum.sem@hotmail.org,1951-10-21,2021-12-21,573,Cursus Diam At Ltd,47169772165,Ap #138-7239 Integer St.,Mexico City,Norway
1," Alisa T.",Kline,T.,tempor.bibendum@yahoo.ca,1996-02-10,2022-09-21,299,NA,448454643,Ap #671-8278 Nec St.,Pernambuco,United Kingdom
22," Cameron D.",Kirby,D.,nunc@hotmail.com,1989-12-01,2022-10-22,268,Suspendisse Foundation,1800473297,5034 Lacus. Rd.,Khyber Pakhtoonkhwa,United States
21," Gil U.",Small,U.,id.risus@google.ca,1994-03-17,2022-09-22,298,Aliquam Gravida Associates,317042618694,906-9695 Velit. Street,Emilia-Romagna,Netherlands
8," Len F.",Whitfield,F.,quisque.fringilla@protonmail.org,1975-07-19,2022-10-12,278,Nec Ante Institute,521375483625,Ap #246-753 Arcu. Avenue,Akwa Ibom,Mexico
5," Alec N.",Brock,N.,enim.nunc.ut@yahoo.couk,1999-12-30,2022-10-01,289,Nec Ante Blandit Company,551366269750,597-548 Egestas. Rd.,Vorarlberg,Brazil
20," Quinlan Z.",Sandoval,Z.,ut@protonmail.edu,2000-05-14,2022-10-12,278,Suspendisse Foundation,15567878637,166-7842 Eget Road,Huádōng,United States
3," Anthony T.",Curtis,T.,ut.ipsum@yahoo.net,1975-06-22,2023-07-13,4,Nullam Scelerisque Company,448001111,490-7128 Nunc. Av.,Guanacaste,United Kingdom
6," Lane H.",Golden,H.,lacus.varius@outlook.net,1970-09-12,2022-10-01,289,Risus Associates,638811661136,518-7417 Arcu Av.,San José,Philippines
12," Rosalyn G.",Tate,G.,dui.semper@aol.co.uk,1959-09-25,2023-07-13,4,Mauris Vel Associates,18454642,"P.O. Box 717, 486 Sed St.",Gangwon,United States
14," Shea Y.",Kirby,Y.,erat.eget@outlook.edu,1955-12-10,2023-07-13,4,Semper Rutrum Fusce Consulting,317021434131,722-6870 Amet Road,Aragón,Netherlands
11," Nora Y.",Huber,Y.,noray32@yahoo.org,1999-12-23,2022-05-29,414,LETNI,481515895743,Ap 10 Dignissim. Rd.,Santa Catarina,Poland
2," Kaitlin T.",Whitney,T.,sapien@yahoo.org,1969-01-23,2022-03-15,489,NA,481513245743,Ap #972-5338 Dignissim. Rd.,Santa Catarina,Poland
9," Angelica E.",Hyde,E.,odio.aliquam@hotmail.edu,1951-01-31,2022-06-19,393,Magna Limited,445508611528,Ap #671-6622 Feugiat Road,Hatay,United Kingdom
